"wife_familyname_std","husband_familyname_std","year","marriage_number","husband_accession_after_marriage","wife_accession_after_marriage"
"Franceschi","Barbo",1453,1,FALSE,TRUE
"Franceschi","Trevisan",1481,1,TRUE,TRUE
"Franceschi","D'Avanzago",1435,1,NA,TRUE
"Franceschi","Priuli",1513,1,FALSE,TRUE
"Franceschi","Marcello",1574,1,FALSE,TRUE
"Gallina","Minelli",1641,1,TRUE,FALSE
"Gallo","Zorzi",1489,1,FALSE,TRUE
"Gambara","Collalto",1598,1,FALSE,TRUE
"Gambara","Venier",1612,2,FALSE,TRUE
"","Beregan",1648,1,TRUE,NA
"","Angaran",1639,1,TRUE,NA
"Garzoni","Trevisan",1424,1,TRUE,FALSE
"Giustinian","Trevisan",1625,1,TRUE,FALSE
"Giustinian","Trevisan",1393,1,TRUE,FALSE
"Giustinian","Trevisan",1496,1,TRUE,FALSE
"Grimani","Trevisan",1510,1,TRUE,FALSE
"Grimani","Trevisan",1511,1,TRUE,FALSE
"Grimani","Trevisan",1538,1,TRUE,FALSE
"Gritti","Trevisan",1452,1,TRUE,FALSE
"Gritti","Trevisan",1513,1,TRUE,FALSE
"Guerra","Trevisan",1679,1,TRUE,TRUE
"Gussoni","Labia",1572,1,TRUE,FALSE
"Gussoni","Trevisan",1402,1,TRUE,FALSE
"","Fracassetti",1692,1,TRUE,NA
"Giovanelli","Giovanelli",1650,1,TRUE,TRUE
"Labia","Belegno",1598,1,FALSE,TRUE
"Labia","Loredan",1643,1,FALSE,TRUE
"Labia","Da Molin",1585,2,NA,TRUE
"Lanfranchi","Minelli",1596,1,TRUE,NA
"Loredan","Trevisan",1445,1,TRUE,FALSE
"Maffetti","Trevisan",1605,1,TRUE,TRUE
"Malatesta","Dandolo",1459,1,FALSE,TRUE
"Malipiero","Trevisan",1641,1,TRUE,FALSE
"Malipiero","Trevisan",1550,1,TRUE,FALSE
"Malipiero","Trevisan",1550,1,TRUE,FALSE
"Manin","Savorgnan",1639,1,FALSE,TRUE
"Marcello","Trevisan",1394,1,TRUE,FALSE
"Marcello","Trevisan",1501,1,TRUE,FALSE
"Marcello","Trevisan",1548,1,TRUE,FALSE
"Marcello","Trevisan",1541,1,TRUE,FALSE
"Marcello","Trevisan",1473,1,TRUE,FALSE
"Marin","Bonlini",1666,1,TRUE,FALSE
"Marin","Bonfadini",1644,1,TRUE,FALSE
"Martinengo","Avogadro",1440,1,FALSE,TRUE
"Martinengo","Gambara",1611,1,TRUE,FALSE
"Medici","Rubini",1633,1,TRUE,TRUE
"Memmo","Trevisan",1608,1,TRUE,FALSE
"","Codognola",1708,1,TRUE,NA
"Michiel","Trevisan",1439,1,TRUE,FALSE
"Minio","Trevisan",1468,1,TRUE,FALSE
"Minio","Trevisan",1548,1,TRUE,FALSE
"Minio","Trevisan",1627,1,TRUE,FALSE
"Minio","Trevisan",1538,1,TRUE,FALSE
"Mocenigo","Trevisan",1491,2,TRUE,FALSE
"Da Molin","Trevisan",1545,1,TRUE,NA
"Da Molin","Trevisan",1435,1,TRUE,NA
"Da Molin","Trevisan",1422,1,TRUE,NA
"Da Molin","Trevisan",1433,1,TRUE,NA
"Da Molin","Trevisan",1459,1,TRUE,NA
"Morelli","Zorzi",1478,1,FALSE,TRUE
"Moro","Trevisan",1591,1,TRUE,FALSE
"Morosini","Trevisan",1473,1,TRUE,FALSE
"Morosini","Trevisan",1635,1,TRUE,FALSE
"Morosini","Trevisan",1530,1,TRUE,FALSE
"Morosini","Trevisan",1429,1,TRUE,FALSE
"Morosini","Trevisan",1537,1,TRUE,FALSE
"Muazzo","Trevisan",1400,1,TRUE,FALSE
"Mussatti","Collalto",1728,1,FALSE,TRUE
"","Pelizzioli",1690,1,TRUE,NA
"","Sangiantoffetti",1627,1,TRUE,NA
"","Trevisan",1621,1,TRUE,NA
"Ottoboni","Rubini",1614,1,TRUE,TRUE
"","Trevisan",1536,1,TRUE,NA
"","Acquisti",1651,1,TRUE,NA
"Papafava","Morosini",1633,1,FALSE,TRUE
"Paruta","Trevisan",1454,1,TRUE,FALSE
"Pesaro","Trevisan",1492,1,TRUE,FALSE
"Pesaro","Trevisan",1549,1,TRUE,FALSE
"Pesaro","Trevisan",1546,1,TRUE,FALSE
"Pesaro","Papafava",1615,1,TRUE,FALSE
"Pisani","Trevisan",1454,1,TRUE,FALSE
"Pisani","Trevisan",1576,1,TRUE,FALSE
"Pisani","Trevisan",1583,1,TRUE,FALSE
"Pisani","Trevisan",1583,1,TRUE,FALSE
"Pizzamano","Trevisan",1561,1,TRUE,FALSE
"","Ravagnin",1649,1,TRUE,NA
"","Fonte",1618,1,TRUE,NA
"","Melli",1499,1,TRUE,NA
"Priuli","Valmarana",1533,1,TRUE,FALSE
"Priuli","Trevisan",1573,1,TRUE,FALSE
"Priuli","Trevisan",1562,1,TRUE,FALSE
"","Trevisan",1406,1,TRUE,NA
"Querini","Trevisan",1440,1,TRUE,FALSE
"Querini","Martinengo",1437,1,TRUE,FALSE
"","Trevisan",1579,1,TRUE,NA
"Raspi","Deddo",1578,1,FALSE,TRUE
"Ravagnin","Minio",1416,1,FALSE,TRUE
"Ravagnin","Donato",1430,1,FALSE,TRUE
"Ravagnin","Badoer",1436,1,NA,TRUE
"Rizzi","Dolfin",1475,1,FALSE,TRUE
"Rizzi","Loredan",1475,1,FALSE,TRUE
"Rizzi","Canal",1494,1,FALSE,TRUE
"Rizzi","Salamon",1506,1,FALSE,TRUE
"Rizzi","Gabriel",1501,1,NA,TRUE
"Rizzi","Cicogna",1502,1,FALSE,TRUE
"","Laghi",1660,1,TRUE,NA
"Rubini","Mosto",1510,1,NA,TRUE
"Ruzzini","Trevisan",1598,1,TRUE,FALSE
"Sagredo","Trevisan",1418,1,TRUE,FALSE
"Sangiantoffetti","Barzizza",1688,1,TRUE,FALSE
"Santasoffia","Corner",1576,1,FALSE,TRUE
"Santasoffia","Venier",1472,1,FALSE,TRUE
"Santasoffia","Valaresso",1499,1,FALSE,TRUE
"Santasoffia","Boldu",1473,1,FALSE,TRUE
"Santasoffia","Bembo",1497,1,FALSE,TRUE
"","Trevisan",1467,1,TRUE,NA
"Soranzo","Trevisan",1651,1,TRUE,FALSE
"Soranzo","Trevisan",1401,1,TRUE,FALSE
"","Trevisan",1511,1,TRUE,NA
"","Trevisan",1495,1,TRUE,NA
"Spinelli","Grimani",1483,1,FALSE,TRUE
"Spinelli","Grimani",1481,1,FALSE,TRUE
"Spinelli","Civran",1667,1,FALSE,TRUE
"Spinelli","Arimondo",1493,1,FALSE,TRUE
"Surian","Trevisan",1615,2,TRUE,FALSE
"Tagliapietra","Trevisan",1561,1,TRUE,FALSE
"Tagliapietra","Trevisan",1559,1,TRUE,FALSE
"","Cavagnis",1696,1,TRUE,NA
"Tiepolo","Trevisan",1652,1,TRUE,FALSE
"Tiepolo","Trevisan",1598,1,TRUE,FALSE
"Tiepolo","Trevisan",1608,1,TRUE,FALSE
"","Trevisan",1662,1,TRUE,NA
"","Ottoboni",1594,1,TRUE,NA
"","Zolio",1652,1,TRUE,NA
"Trevisan","Balbi",1676,1,FALSE,TRUE
"Trevisan","Tiepolo",1640,1,FALSE,TRUE
"Trevisan","Priuli",1497,1,FALSE,TRUE
"Trevisan","Correr",1641,1,FALSE,TRUE
"Trevisan","Canal",1408,1,FALSE,TRUE
"Trevisan","Ferro",1507,1,FALSE,TRUE
"Trevisan","Venier",1580,1,FALSE,TRUE
"Trevisan","Boldu",1635,1,FALSE,TRUE
"Trevisan","Contarini",1608,1,FALSE,TRUE
"Trevisan","Tron",1394,1,FALSE,TRUE
"Trevisan","Bragadin",1494,1,FALSE,TRUE
"Trevisan","Collalto",1564,1,FALSE,TRUE
"Trevisan","Morosini",1522,1,FALSE,TRUE
"Trevisan","Barbaro",1486,1,FALSE,TRUE
"Trevisan","Bellotto",1684,1,TRUE,TRUE
